CountyCode	PrecinctNu	CensusBloc	Split
MRT	6	120850007004016	
MRT	6	120850007004017	
MRT	6	120850007004018	
MRT	24	120850007004019	
MRT	24	120850007004020	
MRT	24	120850007004021	
MRT	7	120850008001000	
MRT	7	120850008001001	
MRT	7	120850008001002	
MRT	2	120850008001003	
MRT	2	120850008001004	
MRT	7	120850008001005	
MRT	2	120850008001006	
MRT	7	120850008001007	
MRT	7	120850008001008	
MRT	7	120850008001009	
MRT	7	120850008001010	
MRT	7	120850008001011	
MRT	7	120850008001012	
MRT	7	120850008001013	
MRT	7	120850008001014	
MRT	7	120850008001015	
MRT	7	120850008001016	
MRT	7	120850008001017	
MRT	7	120850008001018	
MRT	7	120850008001019	
MRT	7	120850008001020	
MRT	7	120850008001021	
MRT	7	120850008001022	
MRT	7	120850008001023	
MRT	7	120850008001024	
MRT	7	120850008001025	
MRT	7	120850008001026	
MRT	7	120850008001027	
MRT	7	120850008001028	
MRT	7	120850008001029	
MRT	7	120850008001030	
MRT	7	120850008001031	
MRT	7	120850008001032	
MRT	7	120850008001033	
MRT	7	120850008001034	
MRT	7	120850008001035	
MRT	7	120850008001036	
MRT	7	120850008001037	
MRT	7	120850008001038	
MRT	7	120850008001039	
MRT	7	120850008001040	
MRT	7	120850008001041	
MRT	7	120850008001042	
